2026-06-12 21:32:09,779 | ERROR    | 9e19a2a4-9ab0-4155-b719-ff33665dee70 | src.api.routers.costs | Failed to read costs.csv | error='provider'
2026-06-12 21:39:58,540 | ERROR    | 94f600a2-36ab-4311-9e18-83d5e53cdad3 | src.api.routers.costs | Failed to read costs.csv | error='provider'
2026-06-12 21:40:06,997 | ERROR    | b3212ca7-b0ef-4ad6-854f-895b6d0c7621 | src.api.routers.costs | Failed to read costs.csv | error='provider'
2026-06-12 21:40:12,394 | ERROR    | 02bb9e81-b578-4212-b386-178f5760370c | src.api.routers.costs | Failed to read costs.csv | error='provider'
2026-06-12 21:40:59,877 | ERROR    | c8132eba-ec31-4d9a-b00a-e9b0e891eec8 | src.api.routers.leads | Lead analysis failed | error=[Errno 2] No such file or directory: '\\tmp\\costs.csv'
2026-06-12 21:41:17,104 | ERROR    | 2596542a-efc1-4c4a-a7bd-437983df7dc4 | src.api.routers.costs | Failed to read costs.csv | error='provider'
2026-06-12 21:41:57,192 | ERROR    | c587ee41-e7f8-4f5a-8973-7fcf3df91dcc | src.api.routers.leads | Lead analysis failed | error=[Errno 2] No such file or directory: '\\tmp\\costs.csv'
2026-06-12 21:48:05,511 | ERROR    | 72581e57-6133-43c4-92d1-dd97bcd1d674 | src.api.routers.costs | Failed to read costs.csv | error='provider'
2026-06-12 21:48:20,327 | ERROR    | 85da22e5-a869-43e7-868f-63c567228a0b | src.api.routers.leads | Lead analysis failed | error=[Errno 2] No such file or directory: '\\tmp\\costs.csv'
2026-06-12 21:53:46,901 | ERROR    | 6cfea326-fe4a-4ff1-9007-8db50f8081ec | src.api.routers.costs | Failed to read costs.csv | error='provider'
2026-06-12 21:53:55,561 | ERROR    | b974bacb-baa8-40af-b58f-e31c4eb5173e | src.api.routers.leads | Lead analysis failed | error=[Errno 2] No such file or directory: '\\tmp\\costs.csv'
2026-06-12 21:54:00,121 | ERROR    | ca00c7d5-2264-41f6-9226-2488eadf2b8a | src.api.routers.costs | Failed to read costs.csv | error='provider'
2026-06-13 06:57:21,800 | ERROR    | a608752e-0c6b-4323-974a-e0bbcda1a503 | src.api.routers.costs | Failed to read costs.csv | error='provider'
2026-06-13 07:08:38,922 | ERROR    | 2eef09c7-7564-4768-bbfa-ef59636d6e71 | src.api.routers.costs | Failed to read costs.csv | error='provider'
2026-06-13 07:14:17,908 | ERROR    | 725f1ebe-a131-4894-8f3d-3bcb24b32687 | src.api.routers.costs | Failed to read costs.csv | error=('provider', 'unknown')
2026-06-13 07:17:15,758 | ERROR    | 1a9dbc7f-c583-47b8-aa81-f1985c77e63a | src.api.routers.costs | Failed to read costs.csv | error=('function', 'unknown')
2026-06-13 07:20:37,578 | ERROR    | 65d80488-73e4-4a70-af7a-906b376986d7 | src.api.routers.costs | Failed to read costs.csv | error=('provider', 'unknown')
2026-06-13 08:02:44,228 | ERROR    | 1a851656-aba9-4b3c-a780-aa118d00aa7a | src.api.routers.costs | Failed to read costs.csv | error='timestamp'
2026-06-13 08:02:49,226 | ERROR    | 4c3cd0f5-675f-437c-8958-0de64404289f | src.api.routers.costs | Failed to read costs.csv | error='timestamp'
2026-06-13 08:09:03,321 | ERROR    | a68500ed-f9d0-4638-9bf8-79c6c6f1abca | src.api.routers.costs | Failed to read costs.csv | error='timestamp'
2026-06-13 08:30:39,472 | ERROR    | 58a741eb-6349-405e-a0ed-b3bf3e15610e | src.api.routers.costs | Failed to read costs.csv | error='timestamp'
2026-06-13 08:31:30,802 | ERROR    | b3898979-6df3-403b-8990-cd115eba95fb | src.api.routers.costs | Failed to read costs.csv | error='timestamp'
